   wl      B3_01   B3_02   B3_03   B3_04   B3_05   B3_06   B3_07   B3_08   B3_09   B3_10   B3_11   B3_12   B3_13   B3_14   B3_15   B3_16   B3_17   B3_18   B3_19   B3_20   B3_21
 34.0000  0.0006  0.0009  0.0006  0.0005  0.0004  0.0004  0.0005  0.0004  0.0003  0.0006  0.0006  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0003  0.0003  0.0003
 34.4000  0.0011  0.0015  0.0010  0.0008  0.0007  0.0006  0.0008  0.0006  0.0006  0.0010  0.0010  0.0007  0.0007  0.0007  0.0007  0.0007  0.0006  0.0006  0.0005  0.0005  0.0004
 34.8000  0.0018  0.0026  0.0017  0.0013  0.0012  0.0010  0.0014  0.0011  0.0009  0.0017  0.0017  0.0011  0.0011  0.0011  0.0011  0.0011  0.0010  0.0009  0.0009  0.0008  0.0007
 35.2000  0.0030  0.0043  0.0028  0.0022  0.0020  0.0017  0.0023  0.0018  0.0015  0.0029  0.0028  0.0019  0.0019  0.0019  0.0018  0.0018  0.0017  0.0016  0.0014  0.0013  0.0012
 35.6000  0.0049  0.0072  0.0046  0.0036  0.0033  0.0028  0.0038  0.0029  0.0026  0.0048  0.0047  0.0032  0.0032  0.0031  0.0031  0.0030  0.0028  0.0026  0.0024  0.0022  0.0020
 36.0000  0.0082  0.0120  0.0077  0.0060  0.0056  0.0046  0.0063  0.0049  0.0043  0.0080  0.0079  0.0053  0.0052  0.0052  0.0051  0.0050  0.0047  0.0043  0.0040  0.0036  0.0033
 36.4000  0.0137  0.0199  0.0128  0.0101  0.0093  0.0077  0.0105  0.0082  0.0072  0.0133  0.0131  0.0088  0.0087  0.0086  0.0085  0.0084  0.0078  0.0072  0.0066  0.0060  0.0054
 36.8000  0.0228  0.0332  0.0214  0.0168  0.0154  0.0128  0.0176  0.0136  0.0119  0.0221  0.0218  0.0147  0.0145  0.0143  0.0142  0.0140  0.0130  0.0120  0.0111  0.0101  0.0091
 37.2000  0.0379  0.0553  0.0357  0.0280  0.0257  0.0213  0.0293  0.0226  0.0199  0.0369  0.0364  0.0245  0.0242  0.0239  0.0236  0.0233  0.0217  0.0200  0.0184  0.0167  0.0151
 37.6000  0.0632  0.0922  0.0595  0.0467  0.0429  0.0355  0.0488  0.0377  0.0332  0.0615  0.0607  0.0408  0.0403  0.0398  0.0393  0.0388  0.0361  0.0333  0.0306  0.0278  0.0251
 38.0000  0.1054  0.1537  0.0991  0.0778  0.0715  0.0592  0.0813  0.0629  0.0553  0.1025  0.1011  0.0680  0.0672  0.0663  0.0655  0.0647  0.0601  0.0556  0.0510  0.0465  0.0419
 38.4000  0.0954  0.2300  0.1946  0.1235  0.1296  0.1130  0.0879  0.1412  0.1086  0.1202  0.0873  0.1037  0.0969  0.0902  0.0834  0.0767  0.0744  0.0721  0.0697  0.0674  0.0651
 38.8000  0.1429  0.2411  0.2038  0.2231  0.1379  0.1701  0.1995  0.1819  0.1830  0.2213  0.2625  0.1825  0.1648  0.1470  0.1293  0.1116  0.1006  0.0897  0.0787  0.0678  0.0568
 39.2000  0.2368  0.2703  0.3487  0.2927  0.2224  0.1861  0.2705  0.2789  0.2605  0.3823  0.4209  0.3528  0.3123  0.2718  0.2314  0.1909  0.1704  0.1499  0.1295  0.1090  0.0885
 39.6000  0.3824  0.4364  0.5431  0.5149  0.3338  0.2872  0.3101  0.3316  0.4213  0.6160  0.5830  0.5645  0.4926  0.4208  0.3489  0.2771  0.2493  0.2215  0.1936  0.1658  0.1380
 40.0000  0.5977  0.6299  0.7261  0.6245  0.4790  0.4233  0.3987  0.4403  0.5675  0.7132  0.6740  0.6878  0.6155  0.5433  0.4710  0.3988  0.3581  0.3174  0.2766  0.2359  0.1952
 40.4000  0.8041  0.7563  0.9036  0.7204  0.5858  0.5876  0.5176  0.5552  0.7164  0.8283  0.7649  0.8256  0.7628  0.7000  0.6372  0.5744  0.5156  0.4568  0.3980  0.3392  0.2804
 40.8000  1.0000  0.8656  0.8881  0.8058  0.7629  0.7261  0.6728  0.7205  0.8772  0.9213  0.8737  0.9182  0.8644  0.8106  0.7569  0.7031  0.6450  0.5868  0.5287  0.4705  0.4124
 41.2000  0.9584  0.9577  0.9289  0.9044  0.9051  0.8833  0.7602  0.8655  0.9523  1.0000  0.9148  0.9733  0.9470  0.9208  0.8945  0.8683  0.8177  0.7672  0.7166  0.6661  0.6155
 41.6000  0.9113  0.9900  1.0000  0.9363  0.9711  0.9459  0.9002  0.9607  1.0000  0.9639  0.9505  1.0000  0.9819  0.9639  0.9458  0.9278  0.9086  0.8894  0.8701  0.8509  0.8317
 42.0000  0.8215  1.0000  0.9930  1.0000  1.0000  1.0000  1.0000  1.0000  0.9691  0.9439  1.0000  0.9832  0.9874  0.9916  0.9958  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
 42.4000  0.7538  0.8933  0.8813  0.8720  0.9377  0.8997  0.9270  0.8947  0.8476  0.8403  0.9135  0.8551  0.8822  0.9093  0.9364  0.9635  0.9647  0.9660  0.9672  0.9685  0.9697
 42.8000  0.6644  0.8130  0.9189  0.8455  0.8534  0.8458  0.8436  0.7149  0.6848  0.7579  0.8513  0.7534  0.7649  0.7763  0.7878  0.7992  0.8076  0.8160  0.8245  0.8329  0.8413
 43.2000  0.5275  0.5947  0.7255  0.7088  0.6900  0.6508  0.7016  0.5044  0.5115  0.5512  0.6514  0.5191  0.5448  0.5706  0.5963  0.6221  0.6235  0.6249  0.6262  0.6276  0.6290
 43.6000  0.3378  0.4987  0.5195  0.5582  0.5274  0.5417  0.4880  0.3422  0.3332  0.3951  0.4675  0.3545  0.3754  0.3963  0.4171  0.4380  0.4361  0.4342  0.4323  0.4304  0.4285
 44.0000  0.2669  0.3485  0.3957  0.4109  0.3430  0.3565  0.2950  0.2166  0.2587  0.3132  0.3355  0.2529  0.2593  0.2657  0.2722  0.2786  0.2779  0.2772  0.2765  0.2758  0.2751
 44.4000  0.1704  0.2415  0.2845  0.3271  0.2439  0.2404  0.1781  0.1299  0.1792  0.2093  0.2294  0.1951  0.1942  0.1934  0.1926  0.1917  0.1879  0.1841  0.1804  0.1766  0.1728
 44.8000  0.1212  0.1834  0.1707  0.2151  0.1463  0.1740  0.1069  0.0962  0.1220  0.1521  0.1385  0.1462  0.1388  0.1314  0.1239  0.1165  0.1139  0.1114  0.1088  0.1063  0.1037
 45.2000  0.0988  0.1100  0.1024  0.1291  0.0878  0.1044  0.0641  0.0577  0.0732  0.0913  0.0831  0.0877  0.0833  0.0788  0.0743  0.0699  0.0684  0.0668  0.0653  0.0637  0.0622
 45.6000  0.0593  0.0660  0.0615  0.0774  0.0527  0.0626  0.0385  0.0346  0.0439  0.0548  0.0499  0.0526  0.0499  0.0472  0.0446  0.0419  0.0410  0.0401  0.0391  0.0382  0.0373
 46.0000  0.0356  0.0396  0.0369  0.0465  0.0316  0.0376  0.0231  0.0208  0.0264  0.0329  0.0299  0.0316  0.0300  0.0284  0.0268  0.0252  0.0246  0.0241  0.0235  0.0230  0.0224
 46.4000  0.0213  0.0238  0.0221  0.0279  0.0190  0.0226  0.0138  0.0125  0.0158  0.0197  0.0179  0.0189  0.0180  0.0170  0.0161  0.0151  0.0148  0.0144  0.0141  0.0137  0.0134
 46.8000  0.0128  0.0143  0.0133  0.0167  0.0114  0.0135  0.0083  0.0075  0.0095  0.0118  0.0108  0.0114  0.0108  0.0103  0.0097  0.0091  0.0089  0.0087  0.0085  0.0083  0.0081
